Code,Site,Reg,Lat,Lon,PopEstADPE,PopEstCHPE,PopEstGEPE,PopEstPygo,PopEstANSH,Comments
WPWC,Watson Peninsula (west coast),South Orkney Islands,-60.675,-44.551,0,2750,0,2750,0,
WEDD,Weddell Island,South Orkney Islands,-60.6359,-44.8479,25250.25828,0,376,25626.25828,0,
WEEK,Weeks Stack,South Shetland Islands,-62.234,-59.057,0,385,0,385,0,
WELC,Welcome Point,Elephant Island,-61.134,-55.429,0,340,0,340,0,
WELL,Weller Island,Southwest Antarctic Peninsula,-65.4453,-65.3817,3.705032694,0,0,3.705032694,0,
MOSS,West coast of Mossman Peninsula,South Orkney Islands,-60.772,-44.753,0,600,0,600,0,
WSAD,West of Saddleback Point (Penguin Island),Elephant Island,-61.106,-54.963,0,1000,0,1000,0,
WHAL,Whaler's Bay,South Shetland Islands,-62.983232,-60.561715,0,0,0,0,17.64705882,
WIDE,Wideopen Islands,Northeast Antarctic Peninsula,-63.0042,-55.8492,100,0,0,100,0,
WNKE,Wiencke Island east,Central-west Antarctic Peninsula,-64.8167,-63.2667,0,0,0,0,20,
WINW,Window Island,South Shetland Islands,-62.5654,-61.1237,0,50,0,50,0,
WINK,Winkle Island (two islets next to Winkle Island),Southwest Antarctic Peninsula,-65.52,-65.686,29.44936811,1.001535756,0,30.45090386,38,
WITH,Withem Island,South Shetland Islands,-62.2352,-59.1381,0,0,0,0,0,
WOOI,Wood Island,South Shetland Islands,-62.4841,-60.3042,0,3666.666667,0,3666.666667,0,
WORL,Worlds End,South Shetland Islands,-61.856,-57.996,0,216,0,216,0,
YALO,Yalour Islands,Central-west Antarctic Peninsula,-65.2389,-64.1564,2803.233412,0,36.18364382,2839.417056,8,
YANK,Yankee Harbor,South Shetland Islands,-62.5257,-59.7687,0,0,2866.092551,2866.092551,0,
ZAWA,Zawadski Stacks,South Shetland Islands,-62.079,-58.784,0,450,0,450,0,
ZEDI,Zed Island,South Shetland Islands,-62.433,-60.166,0,5333.333333,0,5333.333333,0,
ZIGZ,Zig Zag Island,Northwest Antarctic Peninsula,-63.6123,-59.8419,0,1000,0,1000,0,
